Precision Air,Tanzania,3,Y,Y,Y,N, 85.714285714286 
Qantas,Australia,3,Y,Y,Y,Y, 100 
QantasLink,Australia,3,Y,Y,Y,Y, 100 
Qatar Airways,Qatar,3,Y,Y,Y,Y, 100 
Rex Australia,Australia,0,Y,Y,Y,Y, 57.142857142857 
Rossiya,Russia,3,Y,Y,Y,Y, 100 
Royal Air Maroc,Morocco,3,Y,Y,Y,Y, 92.857142857143 
Royal Brunei,Brunei,3,Y,Y,Y,Y, 92.857142857143 
Royal Jordanian,Jordan,3,Y,Y,Y,Y, 100 
Rwandair,Rwanda,3,Y,Y,Y,N, 71.428571428571 
Ryanair,Ireland,0,Y,Y,Y,Y, 57.142857142857 
S7,Russia,3,Y,Y,Y,Y, 100 
SA Express,South Africa,3,Y,Y,Y,Y, 100 
Safi Airways,Afghanistan,3,N,Y,Y,N, 71.428571428571 
SAS,Denmark,3,Y,Y,Y,Y, 100 
SATA Air Acores,Portugal,3,Y,Y,Y,Y, 100 
SATENA,Colombia,0,Y,Y,Y,Y, 57.142857142857 
Saudia,Saudi Arabia,3,Y,Y,Y,Y, 100 
Scat,Kazakhstan,3,Y,N,Y,N, 57.142857142857 
Scoot,Singapore,0,Y,Y,Y,Y, 57.142857142857 
Shaheen Air,Pakistan,0,Y,Y,Y,Y, 57.142857142857 
Shandong Airlines,China,3,Y,Y,Y,Y, 100 
Shanghai Airlines,China,3,Y,Y,Y,Y, 100 
Shenzhen Airlines,China,3,Y,Y,Y,Y, 100 
Sichuan Airlines,China,3,Y,Y,Y,Y, 100 
SilkAir,Singapore,3,Y,Y,Y,Y, 100 
Silver Airways,United States,3,Y,Y,Y,Y, 100 
Singapore Airlines,Singapore,3,Y,Y,Y,Y, 100 
Sky Airline,Chile,3,Y,Y,Y,Y, 100 
Sky Express,Greece,0,Y,Y,Y,Y, 57.142857142857 
SkyBahamas,Bahamas,0,Y,Y,Y,Y, 57.142857142857 
Skytrans,Australia,0,Y,Y,Y,Y, 57.142857142857 
Smartlynx,Latvia,3,Y,Y,Y,Y, 100 
Smartwings,Czech Republic,3,Y,Y,Y,Y, 100 
Solaseed Air,Japan,0,Y,Y,Y,Y, 57.142857142857 
Solomon Airlines,Solomon Islands,3,Y,Y,Y,N, 85.714285714286 
Somon Air,Tajikistan,0,Y,Y,Y,N, 42.857142857143 
South African Airways (SAA),South Africa,3,Y,Y,Y,Y, 100 
Southwest Airlines,United States,0,Y,N,Y,Y, 42.857142857143 
SpiceJet,India,0,Y,Y,Y,N, 42.857142857143 
Spirit Airlines,United States,0,Y,Y,Y,Y, 57.142857142857 
Spring Airlines,China,3,Y,Y,Y,Y, 100 
SprintAir,Poland,0,Y,Y,Y,Y, 71.428571428571 
SriLankan Airlines,Sri Lanka,3,Y,Y,Y,Y, 100 
Sriwijaya Air,Indonesia,0,Y,Y,Y,Y, 57.142857142857 
Starflyer,Japan,0,Y,Y,Y,Y, 57.142857142857 
StarPeru,Peru,0,Y,Y,Y,Y, 57.142857142857 
Sudan Airways,Sudan,3,N,N,Y,Y, 71.428571428571 
Sun Country Airlines,United States,3,Y,Y,Y,Y, 100 
Sun Express,Turkey,3,Y,Y,Y,Y, 100 
Sunwing Airlines,Canada,0,Y,Y,Y,Y, 57.142857142857 
Suparna Airlines,China,3,Y,Y,Y,Y, 100 
Surinam Airways,Suriname,3,Y,Y,Y,Y, 92.857142857143 
Swiss International Air Lines,Switzerland,3,Y,Y,Y,Y, 100 
Syrian Air,Syria,3,Y,Y,Y,N, 85.714285714286 
TAAG Angola Airlines,Angola,3,Y,Y,Y,N, 64.285714285714 
Taban Air,Iran,0,Y,Y,Y,Y, 57.142857142857 
TACV Cabo Verde Airlines,Cape Verde,3,Y,Y,Y,Y, 100 
Tajik Air,Tajikistan,0,Y,Y,Y,N, 42.857142857143 
TAME,Ecuador,3,Y,Y,Y,Y, 100 
TAP Portugal,Portugal,3,Y,Y,Y,Y, 100 
Tarom,Romania,3,Y,Y,Y,Y, 100 
Tassili Airlines,Algeria,3,Y,Y,Y,N, 85.714285714286 
Thai Airways,Thailand,3,Y,Y,N,N, 71.428571428571 
Thai Lion Air,Thailand,3,Y,Y,N,N, 71.428571428571 
Thai Smile,Thailand,3,Y,Y,N,N, 71.428571428571 
Thomas Cook Airlines (group),United Kingdom,3,Y,Y,Y,Y, 100 
Tianjin Airlines,China,3,Y,Y,Y,Y, 100 
Tibet Airlines,China,0,Y,Y,Y,Y, 57.142857142857 
Tigerair Australia,Australia,0,Y,Y,Y,Y, 57.142857142857 
Tigerair Singapore,Singapore,0,Y,Y,Y,Y, 57.142857142857 
Titan Airways,United Kingdom,3,Y,Y,Y,Y, 100 
Transavia,Netherlands,3,Y,Y,Y,Y, 100 
Tui (group),United Kingdom,0,Y,Y,Y,Y, 57.142857142857 
TUIfly Germany,Germany,3,Y,Y,Y,Y, 100 
TUIfly Netherlands,Netherlands,0,Y,Y,Y,Y, 57.142857142857 
Tunisair,Tunisia,3,Y,Y,Y,Y, 92.857142857143 
Turkish Airlines,Turkey,3,Y,N,Y,Y, 85.714285714286 
Turkmenistan Airlines,Turkmenistan,0,Y,Y,Y,Y, 57.142857142857 
T'way Airlines,Korea,3,Y,Y,Y,Y, 100 
UIA Ukraine International Airlines,Ukraine,3,Y,Y,Y,N, 85.714285714286 
United Airlines,United States,3,Y,Y,Y,Y, 100 
