AIRLINE_NAME,FOOD_RATE,ENTERTAINMENT_RATE,SEAT_RATE,SERVICE_RATE,MONEY_RATE
SkyWork Airlines,3,0,3,3,2
Small Planet Airlines,3,2,3,4,4
SmartWings,3,2,2,3,3
Sol Líneas Aéreas,0,0,0,0,1
Solomon Airlines,4,2,4,4,4
Somon Air,2,1,3,3,3
South African Airways,3,3,3,3,3
Southwest Airlines,3,3,3,3,3
SpiceJet,2,1,2,2,3
Spirit Airlines,1,1,2,2,2
Spring Airlines,2,1,2,3,3
SriLankan Airlines,4,3,3,4,4
Sriwijaya Air,3,1,3,3,3
Star Peru,2,1,3,2,3
StarFlyer,5,4,5,5,5
Sudan Airways,0,0,0,0,0
Sun Country Airlines,3,2,2,3,3
Sun-Air,5,3,5,5,5
SunExpress,2,1,3,4,3
Sunwing Airlines,2,2,2,3,2
Suparna Airlines,1,1,4,4,3
Surinam Airways,3,2,3,3,3
SVG Air,0,0,3,4,3
Swiss Intl Air Lines,4,3,3,4,4
Swoop,2,3,3,3,3
SyrianAir,0,0,0,0,4
Danish Air Transport,3,0,3,4,3
Darwin Airline,2,2,3,3,3
Delta Air Lines,3,3,3,3,3
Dniproavia,0,0,0,0,4
Dragonair,4,3,4,4,4
Druk Air,4,1,4,5,3
Dynamic International Airways,0,0,2,2,1
Far Eastern Air Transport,2,0,2,3,3
fastjet,2,1,3,3,2
Felix Airways,0,0,4,4,3
Fiji Airways,3,3,3,4,3
Finnair,3,3,3,4,3
Firefly,4,3,4,4,4
Flair Airlines,2,1,2,2,2
Fly540.com,2,1,2,2,3
flyadeal,3,0,2,2,2
Flybe,2,0,3,3,3
flydubai,2,2,2,3,3
Flynas,1,1,2,2,2
FlySafair,3,1,3,3,3
FMI Air,5,0,4,5,5
Freebird Airlines,1,1,2,2,2
French Bee,4,3,3,3,2
Frontier Airlines,1,1,2,2,2
Garuda Indonesia,4,4,4,5,4
Georgian Airways,2,1,3,3,2
Germania Airline,3,3,3,3,3
Germanwings,2,1,3,3,3
GoAir,2,1,2,2,2
Gol Transportes Aéreos,2,1,3,3,3
Golden Myanmar Airlines,5,0,4,5,5
Grand Cru Airlines,5,0,5,5,5
Gulf Air,3,3,3,4,3
Hainan Airlines,4,4,4,5,4
Hawaiian Airlines,3,2,3,3,3
Helvetic Airways,3,1,3,3,3
Henan Airlines,0,0,0,0,4
Hi Fly,4,3,3,3,3
HK Express,2,2,3,3,3
Hong Kong Airlines,3,3,4,4,3
HOP!,3,2,3,4,3
Horizon Air,4,0,3,5,4
